2026-06-05 13:01:32,937 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:02:41,960 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0000.hea: 200 0-260/260
2026-06-05 13:02:42,268 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001.hea: 200 0-458/458
2026-06-05 13:02:42,574 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001.hea: 200 0-458/458
2026-06-05 13:02:42,889 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 0-32768/1642948
2026-06-05 13:02:43,417 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 32768-65536/1642948
2026-06-05 13:02:43,897 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 65536-98304/1642948
2026-06-05 13:02:44,788 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 98304-131072/1642948
2026-06-05 13:02:45,648 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 131072-163840/1642948
2026-06-05 13:02:46,274 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 163840-196608/1642948
2026-06-05 13:02:46,877 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 196608-229376/1642948
2026-06-05 13:02:47,492 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 229376-262144/1642948
2026-06-05 13:02:48,306 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 262144-294912/1642948
2026-06-05 13:02:48,828 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 294912-327680/1642948
2026-06-05 13:02:49,343 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10020306/83404654/83404654_0001e.dat: 206 327680-360448/1642948
